date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2022/2/28,13397.93,13457.61,13455.73,13279.32,397940256,42.81,0.32,13393.598,13404.372,13416.392,474523129.6,438498432,417641406.4
2022/3/1,13493.28,13517.25,13488.64,13393.85,399261088,32.91,0.24,13431.904,13418.673,13406.63,462991776,441285379.2,415299187.2
2022/3/2,13412.9,13412.9,13346.96,13267.55,400429920,-141.68,-1.05,13391.298,13415.733,13384.963,452265555.2,443797494.4,417756267.2
2022/3/3,13397.97,13407.03,13201.82,13187.74,451125696,-145.14,-1.09,13381.214,13393.625,13375.112,416681568,445981500.8,421652828.8
2022/3/4,13089.42,13204.24,13020.46,12972.24,448266784,-181.36,-1.37,13302.722,13349.703,13359.732,419404748.8,451971126.4,426121521.6
2022/3/7,12930.73,12930.73,12573.43,12523.45,430338496,-447.03,-3.43,13126.262,13259.93,13315.571,425884396.8,450203763.2,429056728
2022/3/8,12594.59,12653.46,12244.5,12178.18,485660832,-328.93,-2.62,12877.434,13154.669,13261.525,443164345.6,453078060.8,433633115.2
2022/3/9,12282.15,12337.77,12107.17,11598.39,521187968,-137.33,-1.12,12629.476,13010.387,13190.318,467315955.2,459790755.2,438170396.8
2022/3/10,12421.76,12486.91,12370.95,12331.51,457351744,263.78,2.18,12463.302,12922.258,13137.262,468561164.8,442621366.4,440590905.6
2022/3/11,12181.48,12464.5,12447.37,12043.38,446429152,76.42,0.62,12348.684,12825.703,13098.412,468193638.4,443799193.6,440824273.6
2022/3/14,12315.77,12389.41,12063.63,12063.63,410957920,-383.74,-3.08,12246.724,12686.493,13045.433,464317523.2,445100960,441799696
2022/3/15,11948.63,12086.04,11537.24,11537.24,491133216,-526.39,-4.36,12105.272,12491.353,12955.013,465412000,454288172.8,447786776
2022/3/16,11765.31,12034.46,12000.96,11331.23,510653184,463.72,4.02,12084.03,12356.753,12886.243,463305043.2,465310499.2,454553996.8
2022/3/17,12228.84,12497.86,12289.97,12218.17,530552544,289.01,2.41,12067.834,12265.568,12829.597,477945203.2,473253184,459617342.4
2022/3/18,12222.22,12368.59,12328.65,12141.75,452016288,38.68,0.32,12044.09,12196.387,12773.045,479062630.4,473628134.4,462799630.4
2022/3/21,12385.87,12469.98,12379.64,12257.67,472491328,50.99,0.41,12107.292,12177.008,12718.469,491369312,477843417.6,464023590.4
2022/3/22,12350.73,12410.47,12318.78,12269.17,464501504,-60.86,-0.49,12263.6,12184.436,12669.553,486042969.6,475727484.8,464402772.8
2022/3/23,12373.51,12436.21,12408.65,12291.37,450677504,89.87,0.73,12345.138,12214.584,12612.486,474047833.6,468676438.4,464233596.8
2022/3/24,12339.14,12384.78,12305.5,12188.58,440692832,-103.15,-0.83,12348.244,12208.039,12565.149,456075891.2,467010547.2,454815956.8
2022/3/25,12315.35,12330.95,12072.73,12072.73,437184672,-232.77,-1.89,12297.06,12170.575,12498.139,453109568,466086099.2,454942646.4
2022/3/28,11969,12053.2,11949.94,11835.33,423332992,-122.79,-1.02,12211.12,12159.206,12422.85,443277900.8,467323606.4,456212283.2
2022/3/29,11983.54,12050.85,11895.08,11857.37,425132224,-54.86,-0.46,12126.38,12194.99,12343.172,435404044.8,460723507.2,457505840
2022/3/30,11969.36,12263.8,12263.8,11961.06,450967872,368.72,3.1,12097.41,12221.274,12289.014,435462118.4,454754976,460032737.6
2022/3/31,12208.99,12220.06,12118.25,12090.29,498906080,-145.55,-1.19,12059.96,12204.102,12234.835,447104768,451590329.6,462421756.8
2022/4/1,12040.01,12275.08,12227.93,12009.21,470576224,109.68,0.91,12091,12194.03,12195.209,453783078.4,453446323.2,463537228.8
2022/4/6,12220.78,12238.02,12172.91,12091.98,484429216,-55.02,-0.45,12135.594,12173.357,12175.183,466002323.2,454640112,466241764.8
2022/4/7,12101.37,12205.1,11972.02,11971.33,478578688,-200.89,-1.65,12150.982,12138.681,12161.559,476691616,456047830.4,465887657.6
2022/4/8,11988.05,12001.59,11959.27,11799.02,462484672,-12.75,-0.11,12090.076,12093.743,12154.164,478994976,457228547.2,462952492.8
2022/4/11,11876.18,11876.18,11520.21,11482.73,463261856,-439.06,-3.67,11970.468,12015.214,12111.627,471866131.2,459485449.6,463247998.4
2022/4/12,11523.28,11756.38,11756.38,11439.59,449765632,236.17,2.05,11876.158,11983.579,12077.077,467704012.8,460743545.6,463414822.4
2022/4/13,11669.08,11744.25,11568.17,11568.17,438713024,-188.21,-1.6,11755.21,11945.402,12052.304,458560774.4,462281548.8,464802577.6
2022/4/14,11662.59,11787.12,11714.62,11587.87,406771264,146.45,1.27,11703.73,11927.356,12061.173,444199289.6,460445452.8,460584480
2022/4/15,11626.05,11737.79,11648.57,11552.78,438335808,-66.05,-0.56,11641.59,11865.833,12043.554,439369516.8,459182246.4,456968611.2
2022/4/18,11557.52,11710.84,11691.47,11459.84,364605696,42.9,0.37,11675.842,11823.155,12013.629,419638284.8,445752208,448671268.8
2022/4/19,11691.76,11771.55,11633.32,11584.24,357166496,-58.15,-0.5,11651.23,11763.694,11978.862,401118457.6,434411235.2,443928779.2
2022/4/20,11619.74,11641.45,11392.23,11360.08,399133504,-241.09,-2.07,11616.042,11685.626,11929.492,393202553.6,425881664,440260888
2022/4/21,11328.71,11429.78,11084.28,11038.38,429251552,-307.95,-2.7,11489.974,11596.852,11867.767,397698611.2,420948950.4,438498390.4
2022/4/22,11016.68,11151.66,11051.7,10896.92,372203840,-32.58,-0.29,11370.6,11506.095,11799.919,384472217.6,411920867.2,434574707.2
2022/4/25,10840.36,10866.64,10379.28,10379.06,457612448,-672.42,-6.08,11108.162,11392.002,11703.608,403073568,411355926.4,435420688
2022/4/26,10401.99,10548.96,10206.64,10181.17,433566400,-172.64,-1.66,10822.826,11237.028,11610.304,418353548.8,409736003.2,435239774.4
2022/4/27,10090.98,10652.93,10652.9,10087.52,476208448,446.26,4.37,10674.96,11145.501,11545.452,433768537.6,413485545.6,437883547.2
2022/4/28,10607.79,10743.17,10628.92,10498.66,408975488,-23.98,-0.23,10583.888,11036.931,11482.144,429713324.8,413705968,437075710.4
2022/4/29,10719.45,11029.94,11021.44,10631.14,464934272,392.52,3.69,10577.836,10974.218,11420.026,448259411.2,416365814.4,437774030.4
2022/5/5,10928.68,11146.02,11046.38,10897.26,409979616,24.94,0.23,10711.256,10909.709,11366.432,438732844.8,420903206.4,433327707.2
2022/5/6,10775.31,10913.69,10809.88,10748.87,375395456,-236.5,-2.14,10831.904,10827.365,11295.53,427098656,422726102.4,428568668.8
2022/5/9,10743.03,10867.61,10765.63,10698.67,339109152,-44.25,-0.41,10854.45,10764.705,11225.166,399678796.8,416723667.2,421302665.6
2022/5/10,10601.4,10938.58,10912.74,10560.78,411328224,147.11,1.37,10911.214,10747.551,11172.202,400149344,414931334.4,417940142.4
2022/5/11,10921.03,11334.76,11109.48,10917.1,506951072,196.74,1.8,10928.822,10753.329,11129.712,408552704,428406057.6,420163462.4
2022/5/12,11029.34,11173.02,11094.87,11006.32,404425824,-14.61,-0.13,10938.52,10824.888,11108.445,407441945.6,423087395.2,417221660.8
2022/5/13,11167.59,11204.55,11159.79,11044.46,384838048,64.92,0.58,11008.502,10920.203,11078.616,409330464,418214560,413975281.6
2022/5/16,11251.27,11296,11093.37,11067.06,408409472,-66.42,-0.59,11074.05,10964.25,11054.876,423190528,411434662.4,412460104
2022/5/17,11095.4,11230.74,11230.16,11059.83,387156800,136.79,1.23,11137.534,11024.374,11030.653,418356243.2,409252793.6,411479380.8
2022/5/18,11249.28,11300.22,11208.08,11151.22,393883552,-22.08,-0.2,11157.254,11043.038,11008.628,395742739.2,402147721.6,409256768
2022/5/19,11035.96,11250.06,11250.06,11019.08,414314080,41.98,0.38,11188.292,11063.406,10986.558,397720390.4,402581168,411742187.2
2022/5/20,11311.81,11454.53,11454.53,11292.14,446303232,204.47,1.82,11247.24,11127.871,10977.618,410013427.2,409671945.6,416199024
2022/5/23,11468.81,11475.18,11447.95,11343.21,420200640,-6.58,-0.06,11318.156,11196.103,10980.404,412371660.8,417781094.4,417252380.8
2022/5/24,11429.93,11429.93,11065.92,11065.92,488680896,-382.03,-3.34,11285.308,11211.421,10979.486,432676480,425516361.6,420223848
2022/5/25,11062.63,11143.97,11143.18,11009.73,374752896,77.26,0.7,11272.328,11214.791,10984.06,428850348.8,412296544,420351300.8
2022/5/26,11149.31,11276.2,11206.82,10984.75,400141792,63.64,0.57,11263.68,11225.986,11025.437,426015891.2,411868140.8,417477768
2022/5/27,11290,11379.93,11193.59,11126.75,397628672,-13.23,-0.12,11211.492,11229.366,11074.785,416280979.2,413147203.2,415680881.6
2022/5/30,11248.51,11327.05,11310.28,11185.95,374347584,116.69,1.04,11183.958,11251.057,11107.654,407110368,409741014.4,410587838.4
2022/5/31,11313.41,11543.18,11527.62,11241.03,420569056,217.34,1.92,11276.298,11280.803,11152.589,393488000,413082240,411167516.8
